country,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Algeria,70000,68000,52000,55000,70000,83000,23000,20000,23000,19000,24000,47000,61000,31000,72000,64000,45000,835000,745000,826000,862000,885000,1060000,995000,841000,659000,680000,808000,658000,620000,620000,292000,512000,548000,587000,485000,560000,735000,606000,723000,594000,882000,757000,757000,486000,310000,275000,292000,158000,179000,144000,144000
Argentina,796000,833000,817000,657000,875000,980000,807000,720000,760000,974000,1050000,1070000,851000,1220000,960000,934000,848000,843000,767000,516000,601000,895000,993000,1030000,1030000,939000,734000,650000,769000,1080000,971000,913000,846000,731000,736000,614000,665000,561000,681000,1070000,1130000,1060000,1220000,1390000,955000,1270000,1550000,1310000,1250000,1490000,1360000,1060000
Australia,17400000,18000000,18500000,19100000,19700000,19900000,20000000,20900000,21800000,22700000,23400000,24200000,25300000,26000000,27100000,27900000,28600000,28900000,28900000,30600000,31700000,32500000,33800000,35600000,37300000,38200000,39000000,39200000,39500000,40300000,41600000,43300000,45500000,47600000,47800000,48000000,47500000,48500000,49900000,52000000,51700000,53100000,52700000,54900000,53100000,49400000,48100000,45100000,43000000,42600000,44100000,43800000
Austria,5080000,4860000,4600000,4540000,4470000,4800000,4410000,3990000,3970000,4190000,3640000,3870000,3250000,3300000,3580000,3680000,3770000,3590000,3840000,4380000,4370000,3900000,3860000,3700000,3720000,4100000,4300000,3340000,3010000,3050000,3470000,3480000,3690000,3250000,3230000,3650000,3770000,3830000,4090000,4000000,4000000,4070000,3900000,3750000,2880000,3380000,3470000,3230000,3280000,3000000,3240000,3180000
Azerbaijan,,,,,,,,,,,,,,,,,,,,,92000,92000,92000,92000,92000,89000,67000,12000,3000,4000,3000,3000,3000,0,0,0,3000,2000,3000,920,3220,3220,1240,6980,4120,526,3470,545,2940,1660,354,355
Bangladesh,0,0,0,0,0,0,0,93500,121000,108000,125000,123000,129000,125000,93000,124000,128000,155000,87500,35000,49000,74000,116000,120000,125000,281000,90000,84500,31500,29500,321000,176000,323000,93000,46000,330000,350000,365000,349000,350000,481000,471000,618000,641000,774000,809000,729000,902000,964000,777000,693000,813000
Belarus,,,,,,,,,,,,,,,,,,,,,2160000,2360000,2300000,2460000,2420000,2120000,2020000,1680000,1440000,1010000,952000,1160000,1220000,1080000,1000000,995000,714000,674000,634000,621000,686000,614000,695000,648000,617000,646000,775000,791000,860000,787000,666000,779000
Belgium,19200000,17500000,17200000,17700000,17300000,16300000,13500000,12900000,10800000,11500000,8620000,8990000,9110000,9330000,10400000,10500000,10900000,10900000,9280000,10800000,10700000,9160000,9110000,9210000,9680000,10600000,10100000,9210000,8490000,8970000,8650000,8260000,7980000,8050000,7060000,8000000,7400000,6400000,6010000,5870000,5170000,4950000,4420000,4550000,3140000,3760000,3510000,3220000,3340000,3330000,3180000,2980000
Brazil,1740000,1880000,1940000,1910000,2130000,2440000,2450000,2580000,2540000,2690000,3200000,3420000,4330000,4980000,5410000,5900000,5770000,6100000,6860000,8480000,10000000,10100000,10600000,10900000,10800000,9600000,11000000,10700000,11000000,11300000,11800000,12200000,12300000,12000000,12200000,13000000,12800000,12400000,12800000,13500000,13000000,12800000,13600000,13800000,11100000,14500000,15400000,15300000,16500000,17500000,17700000,16500000
Bulgaria,6000000,6180000,6710000,7290000,7330000,8020000,7920000,8160000,8220000,8080000,8470000,7900000,7870000,8390000,8650000,9070000,9210000,9680000,9640000,9660000,10100000,10400000,10400000,9640000,9840000,8720000,7700000,7560000,8140000,7570000,7620000,7730000,7840000,7500000,6490000,6430000,7240000,6650000,7330000,7220000,6900000,6970000,7860000,7550000,6400000,6890000,8110000,6930000,5930000,6400000,6620000,5740000
