country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Algeria,2280000,2400000,3050000,4040000,4670000,5750000,7250000,6940000,10800000,17600000,13300000,15400000,20000000,28700000,29200000,32100000,32800000,37100000,38700000,41800000,44400000,47900000,49900000,50500000,46400000,52900000,56100000,64400000,68900000,77500000,79000000,74400000,76500000,80700000,79200000,79400000,76000000,76300000,77200000,71600000,72400000,74400000,73400000,74200000,75000000,76100000,82200000
Argentina,5420000,5650000,5550000,5750000,5680000,6450000,6640000,6720000,6370000,7490000,8550000,8550000,9270000,10600000,11500000,12000000,14000000,14300000,16900000,18000000,17000000,18200000,18900000,18900000,19600000,21600000,23800000,25000000,27000000,30800000,34300000,34200000,33700000,37600000,40400000,41100000,41500000,40300000,39700000,37300000,36100000,34900000,34000000,32000000,31900000,32800000,34400000
Australia,1570000,2340000,3360000,4260000,4860000,5220000,6160000,7040000,7580000,8720000,10000000,10900000,10600000,11500000,11000000,11700000,12800000,13000000,13300000,15300000,17700000,18800000,20600000,21400000,24300000,25500000,25700000,25700000,26200000,26600000,27000000,28300000,28600000,29300000,31200000,33200000,35300000,37100000,36400000,41300000,45400000,47900000,51200000,53100000,57300000,65400000,82000000
Azerbaijan,,,,,,,,,,,,,,,,11500000,11100000,10200000,9690000,9040000,8060000,7000000,6430000,5540000,5210000,5380000,5130000,4890000,4560000,4890000,4610000,4520000,4190000,4180000,4070000,4670000,5510000,8820000,13300000,13300000,13600000,13300000,14000000,14600000,15800000,16200000,15700000
Bahrain,559000,815000,1020000,1440000,1780000,1870000,1960000,2130000,2340000,2590000,2100000,1950000,3080000,3230000,3330000,4060000,4650000,4520000,4800000,4990000,5230000,4980000,5820000,6230000,6380000,6490000,6680000,7170000,7540000,7800000,7890000,8220000,8510000,8670000,8780000,9640000,10200000,10600000,11400000,11500000,11800000,12000000,12400000,13200000,13900000,14000000,13900000
Bangladesh,0,0,378000,523000,575000,578000,761000,849000,937000,1080000,1210000,1270000,1650000,1840000,2120000,2410000,2720000,3190000,3760000,3970000,4280000,4400000,4800000,5380000,5700000,6300000,6770000,6650000,7190000,7840000,8470000,9480000,9980000,10700000,11500000,12400000,13400000,14300000,15300000,17500000,18000000,18300000,20000000,20500000,21500000,24200000,24800000
Bolivia,36000,36000,960000,1480000,1550000,1530000,1570000,1660000,1640000,1790000,2200000,2340000,2430000,2330000,2240000,2220000,2260000,2370000,2500000,2640000,2700000,2680000,2640000,2630000,2840000,2840000,2870000,2420000,2520000,2030000,2910000,4240000,5430000,6240000,8790000,10800000,11600000,12400000,12900000,11100000,12800000,14000000,16000000,18300000,18900000,18200000,17800000
Brazil,70900,113000,153000,176000,338000,368000,424000,527000,694000,761000,889000,798000,1140000,1540000,1790000,2250000,2620000,2930000,2950000,3020000,2750000,2860000,3240000,3790000,4140000,4570000,5000000,5440000,5700000,6690000,6740000,6890000,8320000,9040000,9940000,9830000,10000000,10100000,12600000,10700000,13100000,15100000,17300000,19200000,20400000,20800000,21100000
Brunei,197000,195000,401000,1750000,3800000,4980000,6570000,7540000,7390000,7750000,7780000,7530000,7520000,7840000,7940000,7740000,7760000,7740000,8040000,7880000,8030000,8150000,8780000,9290000,9350000,10600000,10500000,10500000,9690000,10100000,10200000,10300000,10300000,11100000,11000000,10800000,11300000,11000000,10900000,10300000,11100000,11500000,11300000,11000000,10700000,10500000,10100000
Canada,47100000,51300000,57600000,61400000,59300000,60700000,60600000,63800000,61200000,67000000,63600000,61300000,63100000,59300000,64400000,69400000,64700000,70400000,81800000,86900000,88900000,94700000,105000000,116000000,125000000,133000000,138000000,141000000,144000000,146000000,151000000,154000000,155000000,150000000,151000000,154000000,155000000,149000000,143000000,133000000,130000000,130000000,127000000,127000000,132000000,134000000,137000000
China,2670000,3480000,4500000,5560000,7000000,8230000,9390000,11300000,12800000,13500000,13300000,11800000,11100000,11400000,11600000,12000000,12800000,12900000,13300000,14000000,14200000,14400000,14700000,15600000,16300000,16700000,18700000,21100000,21600000,23400000,25300000,28200000,30400000,32600000,38600000,45900000,54500000,64500000,74800000,79400000,89200000,98100000,101000000,110000000,118000000,123000000,125000000
