country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Albania,,,,,,,,,,,,60200,77400,96900,112000,138000,163000,189000,206000,232000,254000,262000,269000,275000,236000,183000,349000,288000,253000,265000,245000,303000,277000,285000,324000,362000,492000,432000,423000,454000,395000,306000,302000,420000,470000,462000,467000,240000,327000,448000,652000,
Algeria,,,,,,,,,,,,28400,42600,64700,42700,28200,33500,23100,21500,25000,22100,31500,41200,20200,38900,55600,21500,42900,15700,19400,11600,25200,17100,30400,14300,16600,11600,6450,18500,17500,4640,5930,4900,22800,21600,47700,18700,19400,24300,26300,15000,
Angola,,,,,,,,,,,,52000,58500,70000,73800,81700,36800,36800,45400,47700,51200,51200,54300,49700,51700,60300,60300,60300,60300,61100,62300,66400,72200,76500,77000,77400,79500,75200,91100,76900,78400,87500,98300,107000,151000,191000,229000,215000,270000,266000,304000,
Argentina,,,,,,,,,,,,133000,129000,257000,432000,447000,431000,496000,667000,917000,1300000,1260000,1510000,1580000,1710000,1780000,1810000,1880000,1290000,1120000,1540000,1400000,1670000,2050000,2350000,2310000,1970000,2410000,2270000,1840000,2470000,3180000,3080000,2910000,2620000,2920000,3260000,2610000,2620000,2910000,2890000,
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,134000,133000,262000,369000,302000,165000,135000,120000,132000,103000,108000,83200,143000,170000,172000,153000,157000,159000,155000,174000,220000,
Australia,344000,397000,423000,567000,588000,713000,607000,655000,654000,720000,764000,996000,995000,981000,1140000,1260000,1300000,1130000,1190000,1320000,1110000,1210000,1170000,1040000,1040000,1180000,1250000,1170000,1230000,1240000,1220000,1360000,1320000,1420000,1410000,1370000,1330000,1420000,1320000,1390000,1410000,1420000,1370000,1400000,1380000,1310000,1350000,1230000,1020000,945000,1070000,1270000
Austria,977000,963000,996000,977000,1090000,1350000,1470000,1500000,1530000,1400000,1780000,1390000,1440000,1610000,1910000,2020000,1720000,2110000,2110000,2370000,2470000,2650000,2660000,2630000,2480000,2660000,2680000,3100000,3080000,3030000,2710000,2700000,3000000,3160000,3070000,3190000,2940000,3100000,3200000,3500000,3600000,3480000,3460000,2860000,3160000,3150000,3080000,3190000,3300000,3520000,3300000,2900000
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60200,151000,150000,206000,157000,134000,132000,147000,168000,130000,132000,112000,174000,212000,237000,259000,217000,203000,192000,199000,296000,
Bangladesh,,,,,,,,,,,,15100,15100,28500,20900,37500,42500,37600,43500,50500,50100,53700,45000,56900,77100,63500,38700,44500,58000,79100,76000,72100,68400,52300,72800,32000,63500,61800,74400,71600,81300,85400,91700,96800,105000,111000,119000,120000,127000,133000,143000,
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1720,1550,1460,1630,1630,1720,1380,1810,2410,1630,2320,2580,2490,2410,2840,3100,3010,3010,3350,3780,3870,
