continent,country,year,coal,hydro,natural_gas,oil,electricity,total,co2_emission
Africa,Algeria,1990,659000.0,11600.0,44400000.0,57500000.0,1384350.8168529666,102570600.0,77000.0
Africa,Algeria,1991,680000.0,25200.0,47900000.0,57700000.0,1487532.2441960447,106305200.0,79000.0
Africa,Algeria,1992,808000.0,17100.0,49900000.0,56600000.0,1573516.7669819433,107325100.0,80100.0
Africa,Algeria,1993,658000.0,30400.0,50500000.0,56700000.0,1668099.7420464316,107888400.0,82200.0
Africa,Algeria,1994,620000.0,14300.0,46400000.0,56400000.0,1711092.003439381,103434300.0,86400.0
Africa,Algeria,1995,620000.0,16600.0,52900000.0,56600000.0,1693895.0988822011,110136600.0,95300.0
Africa,Algeria,1996,292000.0,11600.0,56100000.0,59300000.0,1779879.6216680997,115703600.0,97100.0
Africa,Algeria,1997,512000.0,6450.0,64400000.0,60300000.0,1848667.2398968185,125218450.0,87300.0
Africa,Algeria,1998,548000.0,18500.0,68900000.0,61800000.0,2003439.380911436,131266500.0,107000.0
Africa,Algeria,1999,587000.0,17500.0,77500000.0,63900000.0,2132416.165090284,142004500.0,92000.0
Africa,Algeria,2000,485000.0,4640.0,79000000.0,66800000.0,2184006.878761823,146289640.0,87900.0
Africa,Algeria,2001,560000.0,5930.0,74400000.0,65800000.0,2287188.3061049012,140765930.0,84200.0
Africa,Algeria,2002,735000.0,4900.0,76500000.0,70900000.0,2373172.8288907995,148139900.0,89900.0
Africa,Algeria,2003,606000.0,22800.0,80700000.0,79000000.0,2536543.422184007,160328800.0,91600.0
Africa,Algeria,2004,723000.0,21600.0,79200000.0,83600000.0,2682717.1109200343,163544600.0,88500.0
Africa,Algeria,2005,594000.0,47700.0,79400000.0,86400000.0,2914875.32244196,166441700.0,107000.0
Africa,Algeria,2006,882000.0,18700.0,76000000.0,86200000.0,3026655.2020636285,163100700.0,101000.0
Africa,Algeria,2007,757000.0,19400.0,76300000.0,86500000.0,3207222.6999140154,163576400.0,109000.0
Africa,Algeria,2008,757000.0,24300.0,77200000.0,85600000.0,3456577.8159931214,163581300.0,110000.0
Africa,Algeria,2009,486000.0,26300.0,71600000.0,77200000.0,3705932.932072227,149312300.0,121000.0
Africa,Algeria,2010,310000.0,15000.0,72400000.0,73800000.0,3929492.6913155634,146525000.0,119000.0
America,Argentina,1990,939000.0,1540000.0,17000000.0,25400000.0,4393809.114359415,44879000.0,112000.0
America,Argentina,1991,734000.0,1400000.0,18200000.0,25900000.0,4634565.778159931,46234000.0,117000.0
America,Argentina,1992,650000.0,1670000.0,18900000.0,29000000.0,4858125.537403268,50220000.0,121000.0
America,Argentina,1993,769000.0,2050000.0,18900000.0,31100000.0,5296646.60361135,52819000.0,118000.0
America,Argentina,1994,1080000.0,2350000.0,19600000.0,34500000.0,5631986.242476354,57530000.0,122000.0
America,Argentina,1995,971000.0,2310000.0,21600000.0,37500000.0,5915735.16766982,62381000.0,128000.0
America,Argentina,1996,913000.0,1970000.0,23800000.0,40800000.0,6268271.711092004,67483000.0,135000.0
