country,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Algeria,26500000,33900000,39100000,42900000,44800000,48200000,37100000,50100000,50900000,47400000,45800000,50600000,54100000,57700000,57600000,51800000,46800000,46800000,45900000,49500000,50000000,51800000,52600000,53600000,54700000,57500000,57700000,56600000,56700000,56400000,56600000,59300000,60300000,61800000,63900000,66800000,65800000,70900000,79000000,83600000,86400000,86200000,86500000,85600000,77200000,73800000,71700000,67200000,64800000,68800000,67200000,68500000
Angola,655000,631000,537000,750000,2460000,5070000,5720000,7060000,8180000,8540000,7790000,7560000,7060000,6470000,7200000,7430000,7160000,6410000,8790000,10100000,11500000,13900000,17500000,22300000,22600000,23400000,24500000,27200000,24800000,27400000,31200000,35400000,36500000,36000000,36700000,36900000,36600000,44600000,42800000,54500000,62900000,69600000,82500000,93500000,87600000,90500000,83800000,86900000,87300000,83000000,88700000,87900000
Argentina,13800000,14600000,16000000,17500000,18100000,20000000,21600000,22200000,21600000,21100000,20300000,20400000,22100000,23200000,24300000,25300000,25700000,25600000,25700000,25100000,24200000,22900000,22600000,23700000,24200000,25400000,25900000,29000000,31100000,34500000,37500000,40800000,43400000,44000000,41700000,41400000,44000000,43300000,43200000,41100000,39400000,39500000,38300000,37800000,34000000,33300000,30900000,31100000,30500000,29900000,29800000,28800000
Australia,346000,445000,1040000,1930000,2230000,8700000,15300000,16300000,20400000,20200000,21600000,22100000,23400000,23200000,23300000,21800000,21300000,21000000,20400000,26500000,30700000,27400000,29100000,27700000,26100000,30300000,28600000,28200000,26300000,28300000,26700000,28100000,29800000,28200000,27500000,37100000,34300000,34100000,29500000,25800000,25300000,23500000,24500000,24100000,22400000,24500000,21500000,21400000,17800000,19100000,17400000,15500000
Azerbaijan,,,,,,,,,,,,,,,,,,,,,13200000,13100000,13900000,13700000,13200000,12500000,11800000,11200000,10300000,9560000,9160000,9100000,9030000,11400000,13900000,14100000,15000000,15300000,15400000,15500000,22200000,32300000,42600000,44500000,50400000,50800000,45600000,43400000,43500000,42100000,41600000,41000000
Brazil,5040000,6160000,7750000,8510000,9290000,8790000,9200000,9030000,9160000,9550000,9310000,9070000,8740000,8690000,9000000,9880000,11500000,14100000,17800000,25000000,29500000,31000000,30800000,30100000,32200000,34100000,33700000,34200000,34900000,36200000,37500000,42500000,45600000,52700000,59500000,67100000,70200000,78600000,81500000,80900000,89000000,94000000,95400000,99100000,106000000,112000000,114000000,112000000,110000000,122000000,132000000,137000000
Brunei,3970000,4760000,5160000,6070000,6150000,6750000,6400000,9060000,11400000,9740000,9170000,10600000,11100000,11700000,12700000,11700000,8460000,8680000,8680000,8350000,8100000,7990000,7500000,7250000,7220000,7320000,7930000,8850000,8460000,8660000,8460000,8020000,7890000,7600000,8850000,9490000,9960000,10300000,10500000,10300000,10100000,10800000,9530000,8590000,8250000,8450000,8110000,7820000,6610000,6180000,6200000,5930000
Canada,43900000,48200000,52700000,57100000,62200000,70100000,75200000,86700000,100000000,94400000,81600000,75300000,75600000,75200000,86300000,83300000,75400000,74600000,78600000,83800000,85700000,85700000,90300000,95100000,92600000,92800000,93200000,97200000,102000000,107000000,112000000,115000000,121000000,125000000,121000000,125000000,126000000,133000000,140000000,145000000,142000000,151000000,155000000,153000000,153000000,160000000,170000000,183000000,195000000,209000000,216000000,218000000
Chad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1240000,8830000,9110000,8040000,7540000,6690000,6190000,6400000,5970000,5310000,4360000,4330000,3810000,3850000
China,11300000,14600000,13900000,16000000,21700000,30700000,39400000,45700000,53600000,64900000,77100000,87200000,93600000,104000000,106000000,106000000,101000000,102000000,106000000,115000000,125000000,131000000,134000000,137000000,138000000,138000000,141000000,142000000,144000000,146000000,149000000,159000000,160000000,160000000,160000000,163000000,165000000,167000000,170000000,174000000,181000000,185000000,186000000,190000000,189000000,203000000,203000000,207000000,210000000,211000000,215000000,200000000
Colombia,10700000,10400000,10100000,9260000,11200000,11800000,11700000,10600000,9950000,9070000,8500000,7940000,7470000,7100000,6680000,6800000,7260000,7650000,8200000,9020000,9520000,16100000,20400000,20000000,21400000,23400000,22600000,23300000,24000000,24100000,31000000,33400000,34800000,40400000,43700000,36300000,31800000,30400000,28500000,27900000,27700000,27900000,28000000,31100000,35300000,41400000,48200000,49900000,52900000,52200000,53000000,48800000
"Congo, Rep.",71000,62000,50000,43000,24000,19000,14000,336000,2090000,2460000,1790000,2100000,1640000,2430000,2760000,3170000,4100000,4550000,5370000,6030000,5940000,5950000,6320000,7040000,7960000,8030000,8050000,8640000,9540000,9560000,9270000,10400000,11600000,13600000,13700000,13500000,12500000,12000000,11000000,11500000,12600000,14200000,11500000,12200000,14100000,16000000,15300000,14300000,12600000,13400000,12900000,12000000
Denmark,,,,,,,,97700,146000,97500,146000,195000,487000,390000,390000,293000,731000,1660000,2100000,2300000,2920000,3610000,4530000,4690000,5460000,5900000,6920000,7670000,8190000,9020000,9060000,10200000,11200000,11600000,14600000,17700000,17000000,18100000,17900000,19100000,18500000,16800000,15200000,14000000,12900000,12200000,10900000,9980000,8680000,8130000,7690000,6920000
Ecuador,429000,375000,322000,269000,214000,214000,214000,4190000,11200000,9490000,8630000,10100000,9840000,10900000,11500000,11000000,11400000,11400000,12800000,13900000,15200000,15900000,9390000,16500000,15200000,15500000,16300000,17500000,18700000,20600000,21000000,20900000,21100000,20400000,20300000,21600000,21900000,21100000,22500000,28300000,28600000,28800000,27500000,27200000,26100000,26100000,26800000,27100000,28200000,29800000,29100000,29300000
