year,avg_temp
1796,26.13
1797,27.13
1798,25.69
1799,26.41
1800,26.37
1801,25.60
1802,26.84
1803,26.60
1804,26.95
1805,26.48
1806,26.38
1807,25.80
1808,
1809,
1810,
1811,
1812,
1813,25.73
1814,25.13
1815,25.26
1816,24.83
1817,25.05
1818,25.54
1819,25.19
1820,25.34
1821,25.95
1822,25.99
1823,25.90
1824,26.51
1825,26.25
1826,26.32
1827,26.42
1828,26.08
1829,25.90
1830,26.13
1831,25.70
1832,25.91
1833,25.99
1834,26.03
1835,25.19
1836,25.66
1837,25.59
1838,25.63
1839,25.72
1840,25.83
1841,25.59
1842,25.92
1843,25.72
1844,25.55
1845,25.82
1846,26.39
1847,25.84
1848,25.80
1849,25.74
1850,25.92
1851,25.87
1852,25.88
1853,26.07
1854,26.20
1855,26.21
1856,25.75
1857,25.42
1858,26.03
1859,26.12
1860,25.88
1861,25.76
1862,22.03
1863,
1864,
1865,26.24
1866,26.27
1867,26.35
1868,26.22
1869,26.34
1870,26.01
1871,26.01
1872,26.03
1873,26.13
1874,26.15
1875,26.27
1876,26.37
1877,26.61
1878,26.65
1879,25.88
1880,26.39
1881,26.12
1882,25.98
1883,25.61
1884,25.53
1885,25.84
1886,26.12
1887,25.76
1888,26.11
1889,26.36
1890,26.25
1891,26.11
1892,26.46
1893,25.35
1894,26.01
1895,26.27
1896,26.88
1897,26.48
1898,26.68
1899,26.81
1900,26.80
1901,26.55
1902,27.06
1903,26.04
1904,26.38
1905,26.05
1906,26.05
1907,26.22
1908,25.93
1909,25.99
1910,25.89
1911,26.45
1912,26.66
1913,26.23
1914,26.40
1915,26.71
1916,26.32
1917,25.48
1918,26.38
1919,26.29
1920,26.51
1921,26.76
1922,26.26
1923,26.33
1924,26.52
1925,26.44
1926,26.45
1927,26.04
1928,26.42
1929,26.56
1930,26.39
1931,26.71
1932,26.62
1933,26.12
1934,26.09
1935,25.99
1936,26.28
1937,26.08
1938,26.21
1939,26.42
1940,26.32
1941,27.15
1942,26.55
1943,26.37
1944,26.33
1945,25.89
1946,26.53
1947,26.56
1948,26.84
1949,26.77
1950,26.01
1951,26.80
1952,26.92
1953,26.89
1954,26.53
1955,26.40
1956,26.21
1957,26.52
1958,27.03
1959,26.65
1960,26.65
1961,26.19
1962,26.42
1963,26.72
1964,26.34
1965,26.65
1966,26.86
1967,26.45
1968,26.29
1969,27.11
1970,26.45
1971,26.21
1972,26.82
1973,26.57
1974,26.79
1975,26.11
1976,26.76
1977,27.01
1978,26.57
1979,26.78
1980,26.95
1981,26.64
1982,26.73
1983,26.10
1984,26.43
1985,26.81
1986,26.81
1987,27.65
1988,27.25
1989,26.60
1990,26.63
1991,26.70
1992,26.78
1993,27.04
1994,26.55
1995,27.03
1996,27.01
1997,26.53
1998,27.32
1999,26.96
2000,27.03
2001,26.90
2002,27.35
2003,27.23
2004,27.29
2005,26.72
2006,27.15
2007,27.31
2008,26.83
2009,27.82
2010,27.68
2011,27.02
2012,26.89
2013,27.44
