gdyear,gdtemp,coalesce
1750,8.72,26.32
1751,7.98,26.32
1752,5.78,26.32
1753,8.39,26.32
1754,8.47,26.32
1755,8.36,26.32
1756,8.85,26.32
1757,9.02,26.32
1758,6.74,26.32
1759,7.99,26.32
1760,7.19,26.32
1761,8.77,26.32
1762,8.61,26.32
1763,7.50,26.32
1764,8.40,26.32
1765,8.25,26.32
1766,8.41,26.32
1767,8.22,26.32
1768,6.78,26.32
1769,7.69,26.32
1770,7.69,26.32
1771,7.85,26.32
1772,8.19,26.32
1773,8.22,26.32
1774,8.77,26.32
1775,9.18,26.32
1776,8.30,26.32
1777,8.26,26.32
1778,8.54,26.32
1779,8.98,26.32
1780,9.43,26.32
1781,8.10,26.32
1782,7.90,26.32
1783,7.68,26.32
1784,7.86,26.32
1785,7.36,26.32
1786,8.26,26.32
1787,8.03,26.32
1788,8.45,26.32
1789,8.33,26.32
1790,7.98,26.32
1791,8.23,26.32
1792,8.09,26.32
1793,8.23,26.32
1794,8.53,26.32
1795,8.35,26.32
1796,8.27,26.13
1797,8.51,27.13
1798,8.67,25.69
1799,8.51,26.41
1800,8.48,26.37
1801,8.59,25.60
1802,8.58,26.84
1803,8.50,26.60
1804,8.84,26.95
1805,8.56,26.48
1806,8.43,26.38
1807,8.28,25.80
1808,7.63,26.32
1809,7.08,26.32
1810,6.92,26.32
1811,6.86,26.32
1812,7.05,26.32
1813,7.74,25.73
1814,7.59,25.13
1815,7.24,25.26
1816,6.94,24.83
1817,6.98,25.05
1818,7.83,25.54
1819,7.37,25.19
1820,7.62,25.34
1821,8.09,25.95
1822,8.19,25.99
1823,7.72,25.90
1824,8.55,26.51
1825,8.39,26.25
1826,8.36,26.32
1827,8.81,26.42
1828,8.17,26.08
1829,7.94,25.90
1830,8.52,26.13
1831,7.64,25.70
1832,7.45,25.91
1833,8.01,25.99
1834,8.15,26.03
1835,7.39,25.19
1836,7.70,25.66
1837,7.38,25.59
1838,7.51,25.63
1839,7.63,25.72
1840,7.80,25.83
1841,7.69,25.59
1842,8.02,25.92
1843,8.17,25.72
1844,7.65,25.55
1845,7.85,25.82
1846,8.55,26.39
1847,8.09,25.84
1848,7.98,25.80
1849,7.98,25.74
1850,7.90,25.92
1851,8.18,25.87
1852,8.10,25.88
1853,8.04,26.07
1854,8.21,26.20
1855,8.11,26.21
1856,8.00,25.75
1857,7.76,25.42
1858,8.10,26.03
1859,8.25,26.12
1860,7.96,25.88
1861,7.85,25.76
1862,7.56,22.03
1863,8.11,26.32
1864,7.98,26.32
1865,8.18,26.24
1866,8.29,26.27
1867,8.44,26.35
1868,8.25,26.22
1869,8.43,26.34
1870,8.20,26.01
1871,8.12,26.01
1872,8.19,26.03
1873,8.35,26.13
1874,8.43,26.15
1875,7.86,26.27
1876,8.08,26.37
1877,8.54,26.61
1878,8.83,26.65
1879,8.17,25.88
1880,8.12,26.39
1881,8.27,26.12
1882,8.13,25.98
1883,7.98,25.61
1884,7.77,25.53
1885,7.92,25.84
1886,7.95,26.12
1887,7.91,25.76
1888,8.09,26.11
1889,8.32,26.36
1890,7.97,26.25
1891,8.02,26.11
1892,8.07,26.46
1893,8.06,25.35
1894,8.16,26.01
1895,8.15,26.27
1896,8.21,26.88
1897,8.29,26.48
1898,8.18,26.68
1899,8.40,26.81
1900,8.50,26.80
1901,8.54,26.55
1902,8.30,27.06
1903,8.22,26.04
1904,8.09,26.38
1905,8.23,26.05
1906,8.38,26.05
1907,7.95,26.22
1908,8.19,25.93
1909,8.18,25.99
1910,8.22,25.89
1911,8.18,26.45
1912,8.17,26.66
1913,8.30,26.23
1914,8.59,26.40
1915,8.59,26.71
1916,8.23,26.32
1917,8.02,25.48
1918,8.13,26.38
1919,8.38,26.29
