city,year_avg,state
Agra,25.15,Rest of India
Ahmadabad,26.53,Gujarat
Allahabad,25.50,Rest of India
Amritsar,23.56,Rest of India
Bangalore,24.85,Rest of India
Bhopal,25.24,Rest of India
Delhi,25.17,Rest of India
Haora,26.03,Rest of India
Hyderabad,26.73,Rest of India
Indore,24.88,Rest of India
Jaipur,25.39,Rest of India
Kanpur,24.76,Rest of India
Ludhiana,23.56,Rest of India
Nagpur,25.64,Rest of India
New Delhi,25.17,Rest of India
Patna,25.15,Rest of India
Pune,24.63,Rest of India
Rajkot,26.08,Gujarat
Ranchi,24.17,Rest of India
Surat,26.32,Gujarat
Vadodara,26.32,Gujarat
Varanasi,25.36,Rest of India
